BSSID,Protocol
f0:9e:63:14:ab:cf,802.11n
2a:26:cc:20:db:75,802.11n
08:cc:68:b4:8a:4b,802.11ac
08:cc:68:b4:a1:ab,802.11ac
08:cc:68:b4:b3:84,802.11n
08:cc:68:b4:b3:8b,802.11ac
08:cc:68:b4:db:24,802.11n
08:cc:68:b4:db:2b,802.11ac
08:cc:68:b5:c2:f4,802.11n
08:cc:68:b5:c2:fb,802.11ac
08:cc:68:b5:cd:7b,802.11ac
08:cc:68:b5:d4:14,802.11n
08:cc:68:b5:d4:1b,802.11ac
08:cc:68:b5:dd:fb,802.11ac
1c:e6:c7:0d:fe:d4,802.11n
1c:e6:c7:3e:d8:5b,802.11n
1c:e6:c7:e0:26:73,802.11ac
1c:e6:c7:e0:26:7b,802.11n
1c:e6:c7:f0:1a:14,802.11n
1c:e6:c7:f0:1a:1b,802.11n
1c:e6:c7:f0:1a:83,802.11ac
1c:e6:c7:f0:1a:8b,802.11n
1c:e6:c7:f0:1f:c3,802.11ac
58:97:1e:56:1e:83,802.11ac
7c:0e:ce:dc:5d:03,802.11n
7c:0e:ce:dc:5d:0c,802.11ac
84:78:ac:98:14:1b,802.11n
a0:0f:37:4c:09:ed,802.11ac
a8:9d:21:5c:c2:fb,802.11ac
d0:72:dc:53:5d:4b,802.11ac
d0:c7:89:67:82:b3,802.11ac
d0:c7:89:67:82:b4,802.11n
f0:9e:63:14:ab:cc,802.11n
dc:8d:8a:9e:f9:5c,802.11ax
f0:d1:a9:15:57:af,802.11n
58:2a:f7:53:3d:b4,802.11n
08:cc:68:b4:8a:41,802.11n
08:cc:68:b4:a1:a1,802.11n
08:cc:68:b4:a1:ae,802.11ac
08:cc:68:b4:c7:11,802.11n
08:cc:68:b4:c7:1e,802.11ac
08:cc:68:b4:db:21,802.11n
08:cc:68:b4:db:2e,802.11ac
08:cc:68:b4:dc:1f,802.11ac
08:cc:68:b5:7f:b0,802.11n
08:cc:68:b5:7f:bf,802.11ac
08:cc:68:b5:c2:f1,802.11n
08:cc:68:b5:d4:1e,802.11ac
1c:e6:c7:0d:fe:d1,802.11n
1c:e6:c7:0d:fe:d6,802.11ac
1c:e6:c7:3e:d8:56,802.11ac
1c:e6:c7:3e:d8:5e,802.11n
1c:e6:c7:e0:26:71,802.11n
1c:e6:c7:f0:1a:11,802.11n
1c:e6:c7:f0:1a:16,802.11ac
1c:e6:c7:f0:1a:86,802.11ac
1c:e6:c7:f0:1a:8e,802.11n
1c:e6:c7:f0:1f:c1,802.11n
1c:e6:c7:f0:1f:c6,802.11ac
1c:e6:c7:f0:1f:ce,802.11n
58:97:1e:56:1e:86,802.11ac
58:97:1e:56:1e:8e,802.11n
58:97:1e:56:43:37,802.11ac
58:ac:78:89:d4:b0,802.11n
58:ac:78:9b:0d:1f,802.11ac
84:78:ac:98:14:1e,802.11n
a0:0f:37:4c:09:ef,802.11ac
a8:9d:21:5c:c2:fe,802.11ac
a8:9d:21:5f:4c:11,802.11n
d0:72:dc:53:5d:4e,802.11ac
d0:c7:89:67:82:b6,802.11ac
d4:c9:3c:b6:5e:e0,802.11n
f0:9e:63:14:ab:c1,802.11n
f0:9e:63:14:ab:ce,802.11n
00:2c:c8:3e:52:83,802.11n
08:cc:68:b4:8a:43,802.11n
